day,depth,vol_mm3
1,D,0.050332084
1,D,0.067020774
1,D,0.067325185
1,D,0.06793151
1,D,0.071634646
1,D,0.078937862
1,D,0.079525749
1,D,0.094394555
1,D,0.095771269
1,D,0.095825917
1,D,0.104774183
1,D,0.110767847
3,D,0.111097607
1,D,0.122402281
1,D,0.125051498
3,D,0.127315028
4,D,0.128091724
1,D,0.128257326
4,D,0.12829479
1,D,0.130204713
1,D,0.132038207
1,D,0.132746518
1,D,0.133999061
1,D,0.135424012
1,D,0.135464186
1,D,0.138362652
1,D,0.142668448
1,D,0.163751077
1,D,0.165289661
3,D,0.168228865
1,D,0.169534529
1,D,0.173334583
1,D,0.175889579
1,D,0.177284282
1,D,0.177719947
1,D,0.178696946
1,D,0.184667072
1,D,0.188627096
1,D,0.197206737
1,D,0.197651919
5,D,0.200057465
1,D,0.203835129
5,D,0.204906925
1,D,0.208965431
3,D,0.209233365
1,D,0.211356527
1,D,0.211757724
5,D,0.212215346
1,D,0.213306601
5,D,0.216826651
1,D,0.222879864
4,D,0.225919618
1,D,0.225988648
1,D,0.226094618
1,D,0.235121507
3,D,0.238635967
1,D,0.241995935
1,D,0.249969616
3,D,0.25229382
1,D,0.256357233
1,D,0.264632319
3,D,0.26866581
1,D,0.269361497
3,D,0.27332466
1,D,0.273592608
4,D,0.278500513
5,D,0.285049018
5,D,0.291951573
1,D,0.304267995
1,D,0.305514689
4,D,0.31110964
3,D,0.333477941
3,D,0.334870958
1,D,0.343145694
5,D,0.396338524
1,D,0.399946811
3,D,0.519982383
3,D,0.71464932
2,S,0.129839945
3,S,0.184956719
2,S,0.194952108
2,S,0.21839417
2,S,0.228965268
3,S,0.230516294
2,S,0.231790444
2,S,0.236475582
2,S,0.248271271
2,S,0.256866911
3,S,0.258246253
2,S,0.262075531
2,S,0.265674377
3,S,0.270291433
3,S,0.272181912
2,S,0.275941005
2,S,0.282236366
2,S,0.28340051
5,S,0.285538167
5,S,0.286546449
2,S,0.288919702
2,S,0.289408175
3,S,0.297747562
5,S,0.299022795
2,S,0.302290357
2,S,0.304911529
3,S,0.310789065
2,S,0.311427379
2,S,0.316976433
3,S,0.317625489
3,S,0.321595337
3,S,0.324330586
2,S,0.325211807
2,S,0.325338518
2,S,0.32649635
3,S,0.327787887
3,S,0.334318941
2,S,0.337762637
3,S,0.339110056
3,S,0.339538224
3,S,0.342354414
5,S,0.347429247
2,S,0.350097929
2,S,0.354765546
3,S,0.358957648
3,S,0.359223945
2,S,0.363255013
2,S,0.36550435
2,S,0.368862587
2,S,0.369173095
3,S,0.370611913
2,S,0.371460468
3,S,0.374684208
3,S,0.375701139
3,S,0.376547838
2,S,0.379619907
3,S,0.380767156
2,S,0.38309512
2,S,0.383505858
2,S,0.385815151
3,S,0.392262174
3,S,0.40060802
3,S,0.404121899
3,S,0.407252321
3,S,0.40768435
2,S,0.409331854
5,S,0.410213214
3,S,0.411336285
2,S,0.413626435
2,S,0.413848362
3,S,0.413899972
3,S,0.416393593
3,S,0.438396829
3,S,0.439830273
2,S,0.443807827
2,S,0.444472888
5,S,0.449456464
2,S,0.453641004
2,S,0.453814884
3,S,0.454557147
3,S,0.458704777
2,S,0.45938685
5,S,0.474921976
3,S,0.476441931
3,S,0.483035101
2,S,0.502866777
2,S,0.509690683
2,S,0.519410943
3,S,0.536780663
3,S,0.539180505
3,S,0.540934723
3,S,0.545671501
2,S,0.554678761
2,S,0.569920696
2,S,0.580398888
3,S,0.588604106
3,S,0.77314652
