Sample,depth,n_planulae,cell.sample,ugProtein.sample,cell.protein,cell.larva,,,S,D,,,,,
SPa,S,20,55000,255.628,215.156,2750,,,2750,6550,,,,,
SPb,S,20,23000,188.451,122.048,1150,,,1150,7050,,,,,
SPc,S,20,33000,312.094,105.737,1650,,,1650,6550,,,,,
SPd,S,20,21000,230.685,91.033,1050,,,1050,13550,,,,,
SPe,S,20,43000,264.044,162.851,2150,,,2150,2000,,,,,
DPa,D,20,131000,227.395,576.089,6550,,se,317.8049716,1846.780983,,,,,
DPb,D,20,141000,156.775,899.377,7050,,,,,,,,,
DPc,D,20,131000,157.387,832.342,6550,,,Anova: Single Factor,,,,,,
DPd,D,20,271000,240.173,1128.354,13550,,,,,,,,,
DPe,D,20,8000,81.641,97.99,400,,,SUMMARY,,,,,,
DPf,D,20,40000,115.765,345.528,2000,,,Groups,Count,Sum,Average,Variance,,
SDf,SD,3,215000,109.95,1955.435,71666.66667,,,S,5,8750,1750,505000,,
SDg,SD,3,111000,101.534,1093.233,37000,,,D,5,35700,7140,17053000,,
SDh,SD,3,270000,95.413,2829.81,90000,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,ANOVA,,,,,,
,,,,,,,,,Source of Variation,SS,df,MS,F,P-value,F crit
,,,,,,,,,Between Groups,72630250,1,72630250,8.273180317,0.020627951,5.317655072
,,,,,,,,,Within Groups,70232000,8,8779000,,,
,,,,,,,,,,,,,,,
,,,,,,,,,Total,142862250,9,,,,
